# Devanagari -> the most commonly attested romanization.
# Derived from Google Dakshina v1.0, CC BY-SA 4.0.
अं	an
कम्युनिज्म	communism
कम्युनिटी	community
कम्युनिस्ट	communist
कम्युनिस्टों	communiston
कम्यून	commune
कम्यूनिकेटर	communicator
कम्यूनिज्म	communism
कम्स	comes
कयास	kayaas
कर	kar
करके	karke
करजई	karjai
करण	karan
करणवीर	karanveer
करणसिंह	karansingh
करणी	karani
करणीय	karaniy
करतबों	kartabon
करतल	kartal
करता	karta
करती	karti
करतूतों	kartuton
करते	karte
करदाताओं	kardataon
करन	karan
करनाल	karnal
करनाली	karnali
करनी	karni
करनूल	karnul
करने	karane
करनैल	karnail
करबला	karbala
करमा	karma
करमापा	karmapa
करमुक्त	karmukt
करवा	karva
करवाई	karvai
करवाए	karvaye
करवाएं	karvayen
करवाएगा	karvaega
करवाकर	karvakar
करवाता	karvata
करवाती	karvati
करवाते	karvate
करवाना	karvana
करवाने	karvane
करवाया	karvaya
करवायी	karvayi
करवायें	karvayen
करवाल	karval
करहरिया	karhariya
कराइ	karai
कराई	karai
कराईकल	karaikal
कराए	karae
कराकर	karaakar
कराकोरम	karakoram
कराची	karachi
कराड	karaad
कराण	karan
कराती	karati
कराते	karate
कराधान	karadhan
कराना	karana
करानी	karani
कराने	karane
करामात	karamat
कराया	karaya
करार	karar
करारी	karari
करिअप्पा	cariappa
करियर	carrier
करिश्मा	karishma
करी	kari
करीना	kareena
करीब	kareeb
करीबन	kariban
करीबी	karibi
करुण	karun
करुणा	karuna
करुणेश	karunesh
करूंगा	karunga
करे	kare
करें	karen
करेंगे	karenge
करेंसी	currency
करेगा	karega
करेगी	karegi
करेज	courage
करेन	karen
करेला	karela
करेले	karele
करो	karo
करोगी	karogi
करोगे	karoge
करोड़	crode
करोड़पति	karodpati
करोड़ो	karodon
करोड़ों	karodon
करौली	karauli
कर्क	kark
कर्कोटक	karkotak
कर्ज	karj
कर्जदारों	karjdaron
कर्ज़	karz
कर्ज़न	karjan
कर्जा	karja
कर्टिस	curtis
कर्ण	karn
कर्णदेव	karndev
कर्तव्य	kartavya
कर्तव्यों	kartavyon
कर्ताओं	kartaon
कर्त्तव्य	kartavya
कर्नल	colonel
कर्म	karm
कर्मकांड	karmkand
कर्मकार	karmkar
कर्मचारियों	karmchariyon
कर्मचारी	karmchari
कर्मचारीगण	karmacharigan
कर्मचारीयों	karmchariyon
कर्मभूमि	karmabhoomi
कर्मयोग	karmayog
कर्मयोगी	karmayogi
कर्मस्थली	karmasthali
कर्मा	karma
कर्मानुसार	karmanusar
कर्मियों	karmiyon
कर्मी	karmi
कर्मेंदु	karmendu
कर्मो	karmo
कर्मों	karmon
कर्ली	curly
कर्सियांग	karsiyang
कर्स्टन	curston
कल	kal
कलंक	kalank
कलंदर	kalandar
कलई	kalai
कलगी	kalgi
कलछी	kalchhi
कलबुर्गी	kalburgi
कलम	kalam
कलमबद्ध	kalambaddh
कलर	colour
कलरिंग	coloring
कलर्ड	coloured
कलर्स	colors
कलश	kalash
कलसेकर	kalsekar
कलह	kalah
कला	kala
कलांतर	kalantar
कलाई	kalai
कलाओं	kalaon
कलाकार	kalakar
कलाकारी	kalakari
कलाकारों	kalakaron
कलाकृति	kalakriti
कलाकृतियां	kalakritiyan
कलाकृतियों	kalakritiyon
कलात्मक	kalatmak
कलात्मकता	kalatmakta
कलाप	kalap
कलापों	kalapon
कलाम	kalam
कलारी	kalari
कलाल	kalal
कलिता	kalita
कलियों	kaliyon
कली	kali
कलीसिया	kalisiya
कलुषित	kalushit
कलेक्टर	collector
कलेक्टर्स	collectors
कलेक्ट्रेट	collectorate
कलेक्शन	collection
कलेजी	kaleji
कलेजे	kaleje
कल्चर	culture
कल्चरल	cultural
कल्चुरी	culchuri
कल्ट	cult
कल्टीवेटर	cultivator
कल्टीवेशन	cultivation
कल्प	kalp
कल्पतरु	kalpataru
कल्पनाएं	kalpanayen
कल्पनाशक्ति	kalpanashakti
कल्पनाशील	kalpanasheel
कल्पनाशीलता	kalpanasheelata
कल्पवृक्ष	kalpaverish
कल्पित	kalpit
कल्पेश्वर	kalpeshwar
कल्पों	kalpon
कल्याण	kalyan
कल्याणक	kalyanak
कल्याणकारी	kalyankari
कल्याणी	kalyani
कल्हण	kalhan
कवक	kavak
कवच	kavach
कवयित्री	kavyitri
कवर	cover
कवरेज	coverage
कवर्ड	covered
कवायत	kavayat
कवास	kavaas
कवि	kavi
कविता	kavita
कविताएं	kavitaen
कविताओं	kavitaon
कवितासंग्रह	kavitasangrah
कवित्व	kavitv
कवियित्री	kaviyitri
कवियों	kaviyon
कविवर	kavivar
कश	kash
कशीदाकारी	kashidakari
कशेरुका	kasheruka
कशेरुकी	kasheruki
कश्मीरी	kashmiri
कश्यप	kashyap
कषगम	kashgam
कषाय	kashay
कष्टकारी	kashtkari
कष्टमय	kashmay
कस	kas
कसक	kasak
कसकर	kaskar
कसती	kasati
कसते	kasate
कसने	kasne
कसम	kasam
कसमों	kasmon
कसर	kasar
कसरती	kasrati
कसरतें	kasraten
कसाइयों	kasaiyon
कसाई	kasai
कसाना	kasana
कसाब	kasab
कसाव	kasav
कसावट	kasavat
कसी	kasi
कसीदाकारी	kasidakari
कसीदे	kaside
कसीनो	casino
कसूरवार	kasurwar
कसूरी	kasuri
कसे	kase
कसैले	kasaile
कसौटी	kasauti
कसौली	kasauli
कस्टडी	custody
कस्टम	custom
कस्टमाइज्ड	customized
कस्टम्स	customs
कस्टर्ड	custard
कस्टोडियन	custodian
कस्तूरबा	kasturba
कस्तूरी	kasturi
कस्बा	kasba
कस्बे	kasbe
कस्बें	kasben
कस्बों	kasbon
कहकर	kahkar
कहता	kahata
कहती	kahati
कहते	kahate
कहना	kahana
कहला	kahla
कहलाई	kahlai
कहलाए	kahlaaye
कहलाता	kahlata
कहलाती	kahlati
कहलाते	kahlate
कहलाना	kahlana
कहलाने	kahlane
कहलाये	kahlaye
कहवा	kahva
कहा	kaha
कहाँ	kahan
कहां	kahan
कहानियाँ	kahaniyan
कहानियां	kahaniyan
कहानी	kahani
कहानीकार	kahanikar
कहावत	kahavat
कहावतें	kahavatein
कहिए	kahiye
कही	kahi
कहीं	kahin
कहे	kahe
कहेंगे	kahenge
कहो	kaho
क़यामत	kayamat
क़व्वाली	qawwali
क़ाबिज़	kabij
क़ारी	kari
क़ासिम	kasim
क़ाहिरा	kahira
क़िस्मत	kismat
क़िस्सा	kissa
क़ौमी	kaumi
का	ka
कांके	kanke
कांकेर	kanker
कांक्रीट	concrete
कांगड़ा	kangra
कांगड़ी	kangri
कांगो	congo
कांगों	congo
कांग्रेस	congress
कांग्रेसवाद	congressvad
कांग्रेसी	congress
कांच	kanch
कांचा	kancha
कांची	kanchi
कांचीपुरम	kanchipuram
कांटेदार	kantedar
कांटैक्ट	contact
कांठ	kanth
कांड	kand
कांडपाल	kandpal
कांडों	kandon
कांत	kant
कांथा	kantha
कांफ्रेंस	conference
कांबली	kambli
कांबले	kamble
कांबोज	kamboj
कांवर	kanvar
कांसे	kanse
कांसेप्ट	concept
कांस्टेंट	constant
काई	kai
काईट	kite
काउंट	count
काउंसलरों	counselloron
काउंसिल	council
काउन्सिल	council
काक	kak
काकतीय	kaktiye
काका	kaka
काकोरी	kakori
कागज	kagaj
कागजात	kagjat
कागजातों	kagjaton
कागजी	kagaji
काग़ज़	kagaj
कागा	kaga
काचरू	kachru
काज	kaj
काजमी	kazmi
काजल	kajal
काजा	kaja
काजिम	kazim
काजीचक	kajichak
काजीरंगा	kajiranga
काजोल	kajol
काट	kat
काटकर	katkar
काटता	katata
काटती	kaatati
काटते	katate
काटना	kaatna
काटने	kaatne
काटा	kata
काटी	kati
काटे	kate
काटें	katen
काठ	kath
काठमांडू	kathmandu
काठियावाड़	kathiyawad
काठी	kathi
कातिल	katil
कात्य	katya
कात्यान	katyan
कात्यायन	katyayan
कादर	kadar
कादरी	kadari
कादिम	kadim
कादिर	kadir
कादिरी	kaadiri
कान	kaan
कानन	kanan
कानपुर	kanpur
काना	kana
कानून	kanoon
कानूनसम्मत	kanunsammat
कानूनी	kanooni
कानूनों	kanunon
कानों	kanon
कान्यकुब्ज	kanyakubj
कान्हा	kanha
कापालिक	kapalik
कापी	copy
काफमैन	kafman
काफिले	kafile
काफी	kafi
काबरा	kabra
काबा	kaba
काबिज	kaabij
काबिल	kaabil
काबुल	kabul
काबुली	kabuli
काबू	kabu
काबूल	kabul
काम	kaam
कामकाज	kamkaj
कामकाजी	kamkaji
कामकोटि	kamkoti
कामख्या	kamkhya
कामगार	kamgar
कामगारों	kamgaron
कामचोर	kamchor
कामचोरी	kamchori
कामदार	kamdar
कामदेव	kamdev
कामधेनु	kamdhenu
कामना	kamna
कामनाओं	kamnaon
कामबाण	kamban
कामयाब	kamyab
कामयाबी	kamyabi
कामरान	kamran
कामरूप	kamrup
कामरेड	kamred
कामवासना	kamvasna
कामसूत्र	kamsutra
कामा	kama
कामाख्या	kamakhya
कामायनी	kamayani
कामिनी	kamini
कामिनेनी	kamineni
कामिल	kamil
कामुक	kamuk
कामुकता	kamukta
कामेश्वर	kameshwar
कामों	kamon
काम्या	kamya
कायदा	kayda
कायदों	kaydon
कायम	kayam
कायमगंज	kaimganj
कायर	kayar
कायरता	kayarta
कायरों	kayaron
कायल	kayal
कायस्थ	kayasth
काया	kaya
कार	car
कारक	karak
कारकों	karkon
कारखाना	karkhana
कारखाने	karkhane
कारगर	kargar
कारगार	kargar
कारगिल	kargil
कारण	karan
कारणवश	karanvash
कारतूस	kartus
कारतूसों	kartuson
कारनामों	karnamon
कारबन	carbon
कारमाइकल	carmichacl
कारवां	karvan
कारवाई	karwai
कारवाही	karwahi
कारसेवकों	carsevakon
काराकोरम	karakoram
कारागार	karagar
कारावास	karavas
कारीगर	karigar
कारीगरी	karigari
कारीगरों	karigaron
कारुणिक	karunik
कारों	karon
कारोबारी	karobari
कार्गो	cargo
कार्ट	cart
कार्टन	carton
कार्टर	carter
कार्टियर	cartier
कार्टिलेज	cartilage
कार्टून	cartoon
कार्टूनिस्ट	cartoonist
कार्टेल	cartel
कार्ड	card
कार्डधारी	carddhari
कार्डबोर्ड	cardboard
कार्डिनल	cardinal
कार्डियोलॉजी	cardiology
कार्ड्स	cards
कार्तिकेयन	kartikeyan
कार्न	karn
कार्निवल	carnival
कार्निवाल	carnival
कार्प	carp
कार्बन	carbon
कार्बोहाइड्रेट	carbohydrate
कार्मिक	karmik
कार्मिकों	karmikon
कार्य	karya
कार्यकम	karyakam
कार्यकमों	karyakamon
कार्यकर्मों	karyakarmon
कार्यकलाप	karyakalap
कार्यकलापों	karyakalapon
कार्यकारण	karykaran
कार्यकारिणी	karyakarini
कार्यकाल	karyakal
कार्यकुशलता	karyakushalata
कार्यक्रम	karyakram
कार्यक्रमो	karyakramo
कार्यक्रमों	karyakramo
कार्यक्षमता	karyakshamata
कार्यक्षेत्र	karyakshetra
कार्यक्षेत्रों	karyakshetron
कार्यपालिक	karyapalik
कार्यपालिका	karypalika
कार्यप्रणाली	karyapranali
कार्यबल	karybal
कार्यमुक्त	karymukt
कार्यवाहक	karyvahak
कार्यवाहियों	karyavahiyon
कार्यवाही	karyavahi
कार्यशक्ति	karyshakti
कार्यशाला	karyshala
कार्यशालाओं	karyashalaon
कार्यशील	karyshil
कार्यसमिति	karysamiti
कार्यसूची	karysuchi
कार्यस्थल	karysthal
कार्यस्थान	karysthan
कार्यात्मक	karyatmak
कार्याधिकारी	karyadhikari
कार्यान्वय	karyanvay
कार्यान्वित	karyanvit
कार्यालय	karyalaya
कार्यालयों	karyalayon
कार्यों	karyo
कार्ल	karl
कार्लटन	carlton
कार्लाइल	karlail
कार्ली	carly
कार्लो	carlo
कार्लोस	carlos
कार्सन	carson
कार्सिनोजेनिक	carcinogenic
काल	kaal
कालक्रम	kalkram
कालखंड	kalkhand
कालनिर्णय	kalnirnay
कालबोध	kalbodh
कालर	kalar
कालरा	kalara
कालवी	kalvi
कालसर्प	kalsarp
कालांतर	kalantar
कालाकांकर	kalakankar
कालाणी	kalani
कालापन	kalapan
कालाहांडी	kalahandi
कालिंग	kaling
कालिंदी	kalindi
कालिज	kalij
कालिदास	kalidas
कालिमा	kalima
कालिया	kaliya
काली	kali
कालीकट	kalikat
कालीन	kalin
कालीमिर्च	kalimirch
कालीसिंध	kalisidhi
कालु	kalu
कालू	kalu
काले	kale
कालेब	kaleb
कालेश्वर	kaleshwar
कालों	kalon
काल्पनिक	kalpanik
काल्पनिकता	kalpanikata
कावासाकी	kawasaki
कावेरी	kaveri
काव्य	kavya
काव्यसंग्रह	kavyasangrah
काव्या	kavya
काव्यात्मक	kavyatmak
काव्यों	kavyon
काश	kaash
काशी	kashi
काशीनाथ	kashinath
काशीपुर	kashipur
काशीबाई	kashibai
काश्मीर	kashmir
काष्ठ	kashth
कासगंज	kasganj
कासमी	kasmi
कासल	kasal
कासिमपुर	qasimpur
कासे	kase
कास्कर	kaskar
कास्ट	cast
कास्टिंग	casting
कि	ki
किंग	king
किंगडम	kingdom
किंगफिशर	kingfisher
किंगस्टन	kingston
किंग्डम	kingdom
किंग्स	kings
किंग्सफोर्ड	kingsford
किंचित	kinchit
किंडरगार्टन	kindergarten
किंडल	kindle
किंतु	kintu
किंवदंतियां	kinvadantiyan
किंवदंती	kinvadanti
किए	kie
किओस्क	kiosk
किक	kick
किग्रा	kigra
किचन	kitchen
किछु	kichhu
किट	kit
किटकैट	kitkat
किटी	kitty
किट्स	kits
किड	kid
किडनी	kidney
किड्स	kids
कितना	kitna
कितने	kitne
किताब	kitaab
किताबें	kitaben
किताबों	kitabon
किदवई	kidwai
किदार	kidar
किधर	kidhar
किन	kin
किनार	kinar
किनारा	kinara
किनारे	kinare
किनारों	kinaron
किनी	kini
किन्नर	kinnar
किन्नरों	kinnaron
किन्नौर	kinnaur
किन्हीं	kinhin
किपलिंग	kipling
किफायत	kifayat
किफायती	kifayati
किम	kim
किमी	kimi
किमुरा	kimura
कियू	kiyu
किये	kiye
कियोस्क	kiosk
किर	kir
किरकिरा	kirkira
किरकिरे	kirkire
किरकी	kirki
किरणमय	kiranmay
किरदार	kirdar
किरदारों	kirdaron
किरन	kiran
किराए	kirae
किरात	kirat
किराना	kirana
किरानी	kirani
किराने	kirane
किरार	kirar
किरीट	kirit
किरीबाती	kiribati
किर्बी	kibri
किल	kill
किलर	killer
किलर्स	killers
किला	kila
किलाघाट	kilaghat
किलिंग	killing
किलीमीटर	kilimeter
किले	kile
किलेबंदी	kilebandi
किलो	kilo
किलोग्राम	kilogram
किलोमीटर	kilometer
किलोवॉट	kilovat
किल्ड	killed
किल्ला	killa
किवदंतियां	kivdantiyan
किश	kish
किशन	kishan
किशनगढ़	kishangarh
किशनपुर	kishanpur
किशनपुरा	kishanpura
किशोर	kishor
किशोरगंज	kishoreganj
किशोरपुर	kishoorpur
किशोरवय	kishorvay
किशोरावस्था	kishoravastha
किशोरियों	kishoriyon
किशोरी	kishori
किशोरों	kishoron
किस	kis
किसका	kiska
किसके	kiske
किसको	kisko
किसन	kisan
किसने	kisne
किससे	kisse
किसा	kisa
किसिंग	kissing
किसी	kisi
किसे	kise
किस्म	kism
किस्मत	kismat
किस्में	kismen
किस्मों	kismon
किस्से	kisse
की	ki
कींस	kins
कीच	kich
कीचड़	kichad
कीचड़युक्त	kichadyukt
कीज	kij
कीजिए	kijiye
कीजिये	kijiye
कीट	kit
कीटनाशक	kitnashak
कीटनाशकों	kitnashakon
कीटभक्षी	kitbhakshi
कीटाणु	kitanu
कीटाणुनाशक	kitanunashak
कीटो	kito
कीटों	kiton
कीटोन	ketone
कीट्स	keats
कीड़ा	kida
कीड़ी	kidi
कीड़ों	kidon
कीथ	keeth
कीनन	kinan
कीनिया	kiniya
कीप	keep
कीपर	keeper
कीपिंग	keeping
कीबोर्ड	keyboard
कीमत	kimat
कीमती	kimati
कीमतें	kimaten
कीमतों	kimaton
कीमोथेरेपी	chemotherapy
कीर्तन	kirtan
कीर्ति	kirti
कीर्तिमान	kirtiman
कीर्ती	kirti
कील	keel
कीलें	kilen
कीवी	kivi
कु	ku
कुंअर	kunar
कुंज	kunj
कुंजपुरा	kunjpura
कुंजबिहारी	kunjbihari
कुंजल	kunjal
कुंजियां	kunjiyan
कुंजी	kunji
कुंड	kund
कुंडापुर	kundapur
कुंती	kunti
कुंदन	kundan
कुंदे	kunde
कुंद्रा	kundra
कुंभ	kumbh
कुंभलगढ़	kumbhalgarh
कुंवर	kunwar
कुआं	kuan
कुआन	kuaan
कुआला	kuala
कुएं	kuen
कुओं	kuon
कुक	cook
कुकर	cooker
कुकरेजा	kukreja
कुकरेती	kukreti
कुकर्मों	kukarmon
कुकी	cookie
कुक्कुट	kukkut
कुक्ड	cooked
कुख्यात	kukhyat
कुच	kuch
कुचक्र	kuchakra
कुचल	kuchal
कुचलता	kuchalta
कुचलना	kuchalna
कुचलने	kuchalne
कुचामन	kuchaman
कुछ	kuchh
कुछेक	kuchhek
कुजूर	kujur
कुटिया	kutiya
कुटिल	kutil
कुटिलता	kutilta
कुटी	kuti
कुटीर	kutir
कुटुंब	kutumb
कुट्टी	kutti
कुठाराघात	kutharaghat
कुणाल	kunal
कुतुब	kutub
कुतुबुद्दीन	kutubuddin
कुत्ते	kutte
कुत्तों	kutton
कुदाल	kudal
कुदृष्टि	kudrishti
कुनिका	kunika
कुन्हा	kunha
कुपवाड़ा	kupwada
कुपित	kupit
कुपोषण	kuposhan
कुप्रथाओं	kuprathaon
कुप्रभाव	kuprabhav
कुफरी	kufari
कुबरा	kubra
कुबेर	kuber
कुमकुम	kumkum
कुमति	kumati
कुमार	kumar
कुमारगुप्त	kumargupt
कुमारजी	kumarji
कुमारपाल	kumarpal
कुमारस्वामी	kumarswami
कुमारा	kumara
कुमारी	kumari
कुमुद	kumud
कुम्भा	kumbha
कुम्भार	kumbhar
कुम्हारी	kumhari
कुम्हेर	kumher
कुरान	kuran
कुराबड़	kurabad
कुरारा	kurara
कुरीतियों	kurutiyon
कुरूक्षेत्र	kurukshetra
कुरूपता	kuroopta
कुरेदकर	kuredkar
कुरेदने	kuredne
कुरेशी	kureshi
कुरैशी	kuraishi
कुर्की	kurki
कुर्ग	kurg
कुर्ता	kurta
कुर्द	kurd
कुर्दिश	kurdish
कुर्दीस्तान	kurdistan
कुर्बानियां	kurbaniyan
कुर्बानियों	kurbaniyon
कुर्सियांग	kursiyang
कुल	kul
कुलकर्णी	kulkarni
कुलजीत	kuljeet
कुलदीप	kuldeep
कुलदीपक	kuldeepak
कुलदेवी	kuldevi
कुलनाम	kulnam
कुलपति	kulpati
कुलभूषण	kulbhushan
कुलवंत	kulvant
कुलशेखर	kulshekhar
कुलश्रेष्ठ	kulshest
कुलसचिव	kulsachiv
कुला	kula
कुलाधिपति	kuladhipati
कुलिश	kulish
कुली	coolie
कुलीन	kulin
कुलेश्वर	kuleshwar
कुल्चा	kulcha
कुल्टी	kulti
कुल्ला	kulla
कुल्लू	kullu
कुल्हड़	kulhad
कुल्हाड़ियों	kulhadiyon
कुल्हाड़ी	kulhadi
कुवैत	kuwait
कुवैती	kuwait
कुशल	kushal
कुशलक्षेम	kushalkshem
कुशलगढ़	kushalgarh
कुशलता	kushalata
कुशलतापूर्वक	kushaltapoorvak
कुशवाहा	kushavaahaa
कुशा	kusha
कुशाग्र	kushaagra
कुशान	kushan
कुशाल	kushal
कुशीनगर	kushinagar
कुश्ती	kushti
कुश्तीबाज	kushtibaaj
कुष्ठ	kushth
कुसुम	kusum
कुसुमाग्रज	kusumagraj
कुहासे	kuhase
कूंड	kund
कूचबिहार	coochbehar
कूचों	kuchon
कूटनीति	kootaniti
कूटनीतिक	kutnitik
कूटनीतिज्ञ	kutanitidnya
कूटू	kutu
कूड़ा	kuda
कूद	kood
कूदते	kudte
कूदना	kudna
कूदने	kudne
कूदे	kude
कूप	coop
कूपर	cooper
कूपर्स	coopers
कूपे	coupe
कूपों	coupon
कूर्म	koorma
कूल	cool
कूलिंग	cooling
कूली	coolie
कूल्हे	kulhe
कूष्मांडा	kushmanda
कृत	krit
कृतकृत्य	krikritya
कृतज्ञता	kritadnyataa
कृतसंकल्प	kritsankalp
कृति	kriti
कृत्य	kritya
कृत्यों	krityon
कृत्रिम	kritrim
कृपया	kripya
कृपलानी	kriplani
कृपा	kripa
कृपादृष्टि	karipadrishti
कृपापूर्वक	kripaapurvak
कृपाल	kripal
कृमि	krimi
कृष	krish
कृषक	krishak
कृषकों	krishakon
कृष्ण	krishna
कृष्णदास	krishnadas
कृष्णदेव	krishnadev
कृष्णन	krishnan
कृष्णपक्ष	krishanpaksh
कृष्णमूर्ति	krishnamurti
कृष्णराज	krishnaraj
कृष्णस्वामी	krishanswami
कृष्णा	krishna
कृष्णानगर	krishnanagar
कृष्णामूर्ति	krishnamurti
के	ke
केंचुए	kenchuae
केंजी	kenji
केंट	kent
केंटकी	kentucky
केंड्रिक	kendrick
केंद्र	kendra
केंद्रबिंदु	kendrabindu
केंद्रित	kendrit
केंद्रीकृत	kendrikrit
केंद्रीय	kendriya
केंद्रीयकृत	kendrikrit
केंद्रों	kendron
केंसर	cancer
केएच	kh
केएम	km
केके	kk
केचुआ	kechua
केज	cage
केजरीवाल	kejriwal
केजी	kg
केजीबी	kgb
केट	cate
केटी	catty
केतकर	ketkar
केतन	ketan
केतली	ketali
केतु	ketu
केथ	keth
केदार	kedar
केदारनाथ	kedarnath
केदारेश्वर	kedareshwar
केन	can
केनाइन	kenain
केनाल	kenal
केनिया	keniya
केनी	cany
केनेडी	canady
केनेथ	keneth
केन्या	kenya
केप	cap
केपलर	capler
केपीएमजी	kpmg
केबल	cable
केबिन	cabin
केबीएस	kbs
केबीसी	kbc
केबुल	kebul
केम	came
केमर	camer
केमरून	kemrun
केमिकल	chemical
केमिकल्स	chemicals
केमिस्ट्री	chemistry
केयर	care
केयरटेकर	caretaker
केयूर	keyur
केरकेट्टा	kerketta
केरन	karen
केरल	keral
केरलवासी	keralavaasi
केरला	kerala
केरली	kerali
केरवा	kerwa
केराकत	kerakat
केराटिन	keratin
केरी	keri
केरोलिना	carolina
केलकर	kelkar
केला	kela
केली	keli
केले	kele
केल्विन	kelvin
केवट	kevat
केवड़ा	kevda
केवल	keval
केवाईसी	kyc
केविन	kevin
केवी	kevi
केव्स	caves
केश	kesh
केशव	keshav
केशवन	keshavan
केशवानंद	keshavanand
केशा	kesha
केशी	keshi
केसर	kesar
केसरी	kesari
केसिनो	casino
कै	kai
कैंकर	kainkar
कैंची	canchy
कैंटन	canton
कैंटर	canter
कैंटीन	canteen
कैंड	cand
कैंडी	candy
कैंप	camp
कैंपस	campus
कैंबेल	cambail
कैंब्रिज	cambridge
कैंसर	cancer
कैक्टस	cactus
कैच	catch
कैचप	ketchup
कैची	kaichi
कैज़ुअल	casual
कैट	cat
कैटफिश	catfish
कैटरपिलर	caterpillar
कैटरिंग	catering
कैटलॉग	catalog
कैटालिटिक	catalytic
कैडिलैक	cadillac
कैडेट	cadet
कैथड्रल	cathedral
कैथल	kaithal
कैथलिक	catholic
कैथी	caithi
कैथेटर	catheter
कैथोड	cathode
कैद	kaid
कैदियों	kaidiyon
कैदी	kaidi
कैन	can
कैनन	canon
कैनवास	canvas
कैनेडा	canada
कैनेडियन	canadian
कैनोइंग	canoeing
कैप	cap
कैपिटल	capital
कैप्चर	capture
कैप्टन	captain
कैप्शन	caption
कैप्सूल	capsule
कैफ	kaif
कैफे	cafe
कैबिनेट	cabinet
कैमरा	camera
कैमरून	cameroon
कैमरों	cameron
कैमिकल	chemical
कैमियो	cameo
कैरल	carol
कैरिबियाई	caribbeai
कैरी	carry
कैरेबियन	caribbean
कैरोल	carol
कैरोलिना	carolina
कैलकुलेटर	calculator
कैलाश	kailash
कैलाशचंद्र	kailashchandra
कैलाशनाथ	kailashnath
कैलिस	calis
कैली	cally
कैलेंडर	calendar
कैल्विन	calvin
कैल्शियम	calcium
कैश	cash
कैसल	caisal
कैसा	kaisa
कैसी	kaisi
कैसे	kaise
कैसेट	cassette
कैस्पियन	caspian
कॉक	cock
कॉकटेल	cocktail
कॉकपिट	cockpit
कॉकरोच	cockroach
कॉक्स	cox
कॉटन	cotton
कॉन्क्लेव	conclave
कॉन्टैक्ट	contact
कॉन्ट्रा	contra
कॉन्ट्रैक्ट	contract
कॉन्फ्रेंस	conference
कॉन्वेंट	convent
कॉन्सर्ट	concert
कॉपर	copper
कॉपियां	copiyan
कॉपियों	copiyon
कॉपी	copy
कॉपीराइट	copyright
कॉफी	coffee
कॉम	com
कॉमन	common
कॉमनवेल्थ	commonwealth
कॉमर्स	commerce
कॉमिक	comic
कॉमिक्स	comics
कॉमेंट्स	comments
कॉमेडियन	comedian
कॉमेडी	comedy
कॉम्पैक्ट	compact
कॉयर	care
कॉरपोरेट	corporate
कॉरपोरेशन	corporation
कॉरिडोर	coridor
कॉर्न	corn
कॉर्नर	corner
कॉर्नवल	carnival
कॉर्निया	cornea
कॉर्प	corp
कॉर्पोरेट	corporate
कॉर्पोरेशन	corporation
कॉर्प्स	corps
कॉल	call
कॉलम	column
कॉलर	caller
कॉलसाइन	callsign
कॉलिंग	calling
कॉलिंगवुड	callingwood
कॉलिन	callin
कॉलेज	college
कॉलोनियों	coloniyon
कॉलोनी	colony
कॉवेंट्री	coventry
कॉस्ट	cost
कॉस्ट्यूम	costume
कॉस्मिक	cosmic
कॉस्मेटिक	cosmetic
कॉस्मोपॉलिटन	cosmopolitan
को	ko
कोंकण	konkan
कोंकणी	konkani
कोंच	konch
कोंट्रा	contra
कोआला	koala
कोइराला	koirala
कोइरी	koiri
कोई	koi
कोक	coke
कोकराझाड़	kokrajhaad
कोका	coca
कोकिला	kokila
कोकीन	cocaine
कोको	coco
कोच	coach
कोचिंग	coaching
कोचीन	cochin
कोचुवेली	coachuveli
कोच्लिन	coachlin
कोझिकोड	kozhikode
कोझीकोड	kozhikode
कोट	coat
कोटक	kotak
कोटकासिम	kotkasim
कोटवार	kotwar
कोटा	kota
कोटिंग	coating
कोटियों	kotiyon
कोटी	koti
कोटेड	coated
कोटेशन	quotation
कोटेश्वर	koteshwar
कोटो	koto
कोट्टयम	kottayam
कोठरियां	kothriyan
कोठार	kothar
कोठारी	kothari
कोठियों	kothiyon
कोठी	kothi
कोठे	kothe
कोड	code
कोडनेम	codename
कोड़ों	kodon
कोडागु	kodagu
कोडिंग	coding
कोण	kon
कोणार्क	konark
कोणीय	koniya
कोणों	konon
कोतवाल	kotval
कोन	kon
कोना	kona
कोनार	konar
कोनार्ड	konard
कोनों	konon
कोबरा	cobra
कोबायाशी	kobayashi
कोबाल्ट	cobalt
कोबेन	koben
कोभी	kobhi
कोमल	komal
कोमलता	komalta
कोमिला	komila
कोमो	komo
कोमोडोर	commodore
कोयंबतूर	coimbatore
कोयल	koyal
कोयला	koyla
कोयले	koyle
कोरकू	korku
कोरल	corel
कोरस	cores
कोरिया	korea
कोरियोग्राफर	choreographer
कोरी	cori
कोरोनरी	koronari
कोर्ट	court
कोर्स	course
कोलंबस	columbus
कोलंबिया	columbia
कोलंबो	colombo
कोलकाता	kolkata
कोलगेट	colgate
कोलम	column
कोला	cola
कोलाई	kolai
कोली	koli
कोल्ड	cold
कोल्हापुर	kolhapur
कोल्हापुरी	kolapuri
कोल्हू	kohlu
कोश	kosh
कोशिका	koshika
कोशिकाएं	koshikayen
कोशिकाओं	koshikaon
कोशिश	koshish
कोशिशें	koshishen
कोशिशों	koshishon
कोष	kosh
कोषाध्यक्ष	koshadhyaksh
कोषों	koshon
कोष्ठक	coxtak
कोस	kos
कोसते	kosate
कोसम	kosam
कोसल	kosal
कोसी	kosi
कोसोवो	kosovo
कोस्टल	coastal
कोस्टा	coasta
